,Region,INDICATOR_ID,VALUE_nation,VALUE_local,VALUE_others,YEAR,VALUE,MAGNITUDE,QUALIFIER
0,Arab States,20060,5371506,0,667145,2018,5733185.409,,UIS_EST
1,Arab States,20062,45752468,0,5023213,2018,47872166.72,,UIS_EST
2,Arab States,20082,32780606,0,2259896,2018,32894405.26,,UIS_EST
3,Arab States,25053,11067356,0,323836,2018,11325105.58,,UIS_EST
4,Central and Eastern Europe,20060,6183550,6252808,349373,2018,12844609.01,,UIS_EST
5,Central and Eastern Europe,20062,12824141,6573633,427752,2018,20173903.4,,UIS_EST
6,Central and Eastern Europe,20082,22624246,9905067,649357,2018,33468613.04,,UIS_EST
7,Central and Eastern Europe,25053,13098341,5886641,389327,2018,19393585.65,,UIS_EST
8,Central Asia,20060,2546258,0,279599,2018,2824950.0530000003,,
9,Central Asia,20062,5880252,0,1130104,2018,7025730.257999999,,
10,Central Asia,20082,8232775,0,1713973,2018,9620559.887,,UIS_EST
11,Central Asia,25053,1812346,0,309837,2018,2065745.019,,
12,East Asia and the Pacific,20060,66503397,528373,456634,2018,67113126.25,,
13,East Asia and the Pacific,20062,181860858,2216779,1754746,2018,186174080.6,,
14,East Asia and the Pacific,20082,153545028,2650486,817314,2018,155424962.0,,
15,East Asia and the Pacific,25053,72303738,1774852,211095,2018,72378115.14,,
16,Latin America and the Caribbean,20060,14684035,5101935,493681,2018,21872377.52,,UIS_EST
17,Latin America and the Caribbean,20062,44275670,16106812,2116258,2018,64482867.08,,UIS_EST
18,Latin America and the Caribbean,20082,39128985,23118179,1514138,2018,63620753.26,,UIS_EST
19,Latin America and the Caribbean,25053,18250701,8571423,594329,2018,27967160.46,,UIS_EST
20,North America and Western Europe,20060,13029099,9261915,0,2018,21968527.67,,UIS_EST
21,North America and Western Europe,20062,25936298,27488303,0,2018,54115629.62,,UIS_EST
22,North America and Western Europe,20082,36819224,27440973,0,2018,64571049.04,,UIS_EST
23,North America and Western Europe,25053,17127233,20640108,14403,2018,37758161.23,,UIS_EST
24,South and West Asia,20060,24401313,0,0,2018,24235210.33,,UIS_EST
25,South and West Asia,20062,204045939,0,0,2018,202967802.1,,UIS_EST
26,South and West Asia,20082,177416763,0,0,2018,174146960.1,,UIS_EST
27,South and West Asia,25053,44542611,0,0,2018,44658956.27,,
28,Sub-Saharan Africa,20060,19347059,3065,507605,2018,25239409.2,,UIS_EST
29,Sub-Saharan Africa,20062,154199246,9258,7726728,2018,167927199.1,,UIS_EST
30,Sub-Saharan Africa,20082,53922358,7459,2950864,2018,60915889.55,,UIS_EST
31,Sub-Saharan Africa,25053,7579929,1123,286176,2018,8125044.101,,UIS_EST
